"ページID","ページ名（日本語）","ページ名（英語）","URLパス","ページタイプ","表示モード","対応デバイス","使用テンプレート","タイトル","メタディスクリプション","カラーテーマ","使用フォント","ヘッダーナビ有無","フッターナビ有無","パンくずリスト","GAイベントID","API連携有無","APIエンドポイント","作成日","最終更新日","担当者","バージョン","備考"
"PG001","404エラーページ","Not Found","/404","システム","公開","PC/SP","Layout","ページが見つかりません - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0","Next.js標準の404をカスタマイズ。"
"PG002","はじめてガイド","Beginner Guide","/beginner","ガイド","公開","PC/SP","Layout","はじめてガイド - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG003","お客様向けブログ記事","Customer Blog Article","/blog_for_custmor/[slug]","記事詳細","公開","PC/SP","Layout","meta.title - ヤスカリ","Markdown frontmatterに依存","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","blog_for_custmor/*.md","未設定","未設定","未割当","v1.0",""
"PG004","お客様向けブログ一覧","Customer Blog","/blog_for_custmor","一覧","公開","PC/SP","Layout","新着ブログ・お知らせ - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0","旧ブログの投稿一覧。"
"PG005","お客様向けブログ（タグ）","Customer Blog Tag","/blog_for_custmor/tag/[tag]","一覧","公開","PC/SP","Layout","#{tag} の記事 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0","タグ別フィルタページ。"
"PG006","チャットサポート","Chat Support","/chat","ツール","公開","PC/SP","Layout","チャットサポート | ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG007","会社概要","Company","/company","静的情報","公開","PC/SP","Layout","運営会社情報 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG008","お問い合わせ案内","Contact","/contact","静的情報","公開","PC/SP","Layout","お問い合わせ - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG009","店舗ブログ一覧","Store Blog","/customer_blog","一覧","公開","PC/SP","Layout","店舗ブログ - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG010","英語トップ","Home (EN)","/en","ランディング","公開","PC/SP","Layout","ヤスカリ - Motorcycle Rentals","未設定（要検討）","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0","英語版トップページ。"
"PG011","情報の外部送信について","External Transmission","/external","ポリシー","公開","PC/SP","Layout","情報の外部送信について - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG012","ご利用案内","Usage Guide","/guide","ガイド","公開","PC/SP","Layout","ご利用案内 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG013","ヘルプ","Help","/help","FAQ","公開","PC/SP","Layout","ヘルプ - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","data/chatbot-faq.json","未設定","未設定","未割当","v1.0",""
"PG014","トップページ","Home","/","ランディング","公開","PC/SP","Layout","ヤスカリ - バイクレンタルサイト","未設定（要検討）","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0","Heroスライダーや注目コンテンツを掲載。"
"PG015","保険と補償","Insurance","/insurance","静的情報","公開","PC/SP","Layout","車両保険の内容について - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG016","ログイン","Login","/login","フォーム","公開","PC/SP","Layout","ログイン","未設定","ブルーグラデーション (#2563eb→#3b82f6)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","login_submit","TRUE","/api/login","未設定","未設定","未割当","v1.0","メールアドレス/ソーシャル認証フォーム。"
"PG017","システム更新記事","System Manual Article","/manual_for_system/[slug]","記事詳細","社内向け","PC/SP","Layout","meta.title","Markdown本文冒頭","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","manual_for_system/*.md","未設定","未設定","未割当","v1.0",""
"PG018","システム更新ブログ","System Manual Index","/manual_for_system","一覧","社内向け","PC/SP","Layout","未設定","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","manual_for_system/*.md","未設定","未設定","未割当","v1.0","社内マニュアルの一覧。"
"PG019","レート制限モニター","Rate Limit Monitor","/monitor","管理ツール","社内向け","PC/SP","Layout","Rate Limit Monitor","未設定","ホワイト (#ffffff)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","/api/monitor","未設定","未設定","未割当","v1.0","APIレート制限状況を表示。"
"PG020","マイページ","Dashboard","/mypage","ダッシュボード","会員限定","PC/SP","Layout","マイページ","未設定","ブルーグラデーション (#2563eb→#3b82f6)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","mypage_view","TRUE","SSR（GetServerSideProps）","未設定","未設定","未割当","v1.0","ログイン判定後にダッシュボードを表示。"
"PG021","新着情報一覧","News","/news","一覧","公開","PC/SP","Layout","新着情報 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG022","サイトリニューアルのお知らせ","News Detail","/news/site-renewal","記事詳細","公開","PC/SP","Layout","サイトリニューアルのお知らせ - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG023","料金表","Pricing","/pricing","価格表","公開","PC/SP","Layout","車種・料金 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG024","プライバシーポリシー","Privacy Policy","/privacy","ポリシー","公開","PC/SP","Layout","プライバシーポリシー - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG025","車種詳細","Product Detail","/products/[modelCode]","詳細","公開","PC/SP","Layout","{bike.modelName} - ヤスカリ","モデルデータに依存","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","lib/bikes.ts","未設定","未設定","未割当","v1.0",""
"PG026","車種一覧","Product Catalog","/products","一覧","公開","PC/SP","Layout","全ての車種一覧 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","lib/bikes.ts","未設定","未設定","未割当","v1.0",""
"PG027","レンタル状況","Rental Status","/rental-status","ダッシュボード","公開","PC/SP","Layout","レンタル状況","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG028","レンタルバイク記事詳細","Rental Bike Article","/rental_bike/[slug]","記事詳細","公開","PC/SP","Layout","meta.title - ヤスカリ","Markdown frontmatterに依存","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","rental_bike/*.md","未設定","未設定","未割当","v1.0",""
"PG029","レンタルバイク記事一覧","Rental Bike Blog","/rental_bike","一覧","公開","PC/SP","Layout","新着ブログ・お知らせ - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","rental_bike/*.md","未設定","未設定","未割当","v1.0",""
"PG030","レンタルバイク（タグ）","Rental Bike Tag","/rental_bike/tag/[tag]","一覧","公開","PC/SP","Layout","#{tag} の記事 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG031","新規会員登録","Register","/signup","フォーム","公開","PC/SP","Layout","新規会員登録 | 激安・便利なレンタルバイクのヤスカリ。","中古バイク専門店が運営するレンタルバイク屋です。メールアドレスを入力して簡単に会員登録が行えます。","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","TRUE","register_submit","TRUE","/api/signup","未設定","未設定","未割当","v1.0",""
"PG032","ソースビューア","Source Viewer","/source/[...path]","管理ツール","社内向け","PC/SP","Layout","未設定","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","TRUE","ファイルシステム参照","未設定","未設定","未割当","v1.0","任意のリポジトリファイルを表示。"
"PG033","店舗一覧","Stores","/stores","静的情報","公開","PC/SP","Layout","店舗一覧 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG034","126〜250ccカテゴリ","126-250cc","/t/genre/cc126-250","カテゴリ","公開","PC/SP","Layout","126〜250cc - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG035","251〜400ccカテゴリ","251-400cc","/t/genre/cc251-400","カテゴリ","公開","PC/SP","Layout","251〜400cc - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG036","400cc超カテゴリ","Over 400cc","/t/genre/cc400-plus","カテゴリ","公開","PC/SP","Layout","400cc超 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG037","ジャイロキャノビーミニカー","Gyro Canopy Minicar","/t/genre/gyrocanopy-minicar","カテゴリ","公開","PC/SP","Layout","ジャイロキャノビーミニカー - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG038","ジャイロキャノビー原付","Gyro Canopy Moped","/t/genre/gyrocanopy-moped","カテゴリ","公開","PC/SP","Layout","ジャイロキャノビー原付 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG039","原付ミッション","Manual Moped","/t/genre/moped-manual","カテゴリ","公開","PC/SP","Layout","原付ミッション - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG040","原付二種スクーター","Class 2 Scooter","/t/genre/scooter-125cc","カテゴリ","公開","PC/SP","Layout","原付二種スクーター - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG041","原付スクーター","Moped Scooter","/t/genre/scooter-50cc","カテゴリ","公開","PC/SP","Layout","原付スクーター - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG042","利用規約","Terms of Use","/terms","ポリシー","公開","PC/SP","Layout","利用規約・注意事項","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG043","特定商取引法に基づく表記","Legal Notice","/tokusyouhou","ポリシー","公開","PC/SP","Layout","特定商取引法に基づく表記 - ヤスカリ","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
"PG044","お待ちください案内","Please Wait","/wait","案内","公開","PC/SP","Layout","しばらくお待ちください","未設定","ブランドレッド (#dc2626)","Inter, Noto Sans JP","TRUE","TRUE","FALSE","-","FALSE","-","未設定","未設定","未割当","v1.0",""
